adherent_id	code_postal	ville	statut
ADH-0092	21812	Dijon	Étudiant
ADH-0093	93556	Bobigny	Actif
ADH-0094	77643	Melun	Bienfaiteur
ADH-0095	17293	La Rochelle	Actif
ADH-0096	95200	Cergy	Actif
ADH-0097	94527	Créteil	Actif
ADH-0098	64173	Pau	Bienfaiteur
ADH-0099	92614	Nanterre	Actif
ADH-0100	06006	Nice	Bienfaiteur
ADH-0101	90429	Belfort	Bienfaiteur
ADH-0102	57234	Metz	Actif
ADH-0103	33800	Bordeaux	Bienfaiteur
ADH-0104	78033	Versailles	Actif
ADH-0105	75075	Paris	Actif
ADH-0106	16062	Angoulême	Actif
ADH-0107	47224	Agen	Actif
ADH-0108	82185	Montauban	Étudiant
ADH-0109	31090	Toulouse	Bienfaiteur
ADH-0110	59473	Lille	Étudiant
ADH-0111	94734	Créteil	Actif
ADH-0112	06442	Nice	Étudiant
ADH-0113	92745	Nanterre	Actif
ADH-0114	87442	Limoges	Actif
ADH-0115	63568	Clermont-Ferrand	Étudiant
ADH-0116	77199	Melun	Bienfaiteur
ADH-0117	70400	Vesoul	Actif
ADH-0118	02396	Laon	Actif
ADH-0119	64158	Pau	Actif
ADH-0120	06501	Nice	Étudiant
ADH-0121	13399	Marseille	Actif
ADH-0122	44016	Nantes	Bienfaiteur
ADH-0123	24582	Périgueux	Bienfaiteur
ADH-0124	75088	Paris	Actif
ADH-0125	95795	Cergy	Actif
ADH-0126	83084	Toulon	Actif
ADH-0127	66527	Perpignan	Actif
ADH-0128	37048	Tours	Bienfaiteur
ADH-0129	42734	Saint-Étienne	Étudiant
ADH-0130	42034	Saint-Étienne	Actif
ADH-0131	34744	Montpellier	Bienfaiteur
ADH-0132	73617	Chambéry	Bienfaiteur
ADH-0133	43032	Le Puy-en-Velay	Actif
ADH-0134	49794	Angers	Actif
ADH-0135	63103	Clermont-Ferrand	Actif
ADH-0136	87828	Limoges	Bienfaiteur
ADH-0137	67335	Strasbourg	Étudiant
ADH-0138	68377	Colmar	Bienfaiteur
ADH-0139	29869	Quimper	Actif
ADH-0140	72240	Le Mans	Actif
ADH-0141	14004	Caen	Étudiant
ADH-0142	80435	Amiens	Actif
ADH-0143	33786	Bordeaux	Actif
ADH-0144	24622	Périgueux	Actif
ADH-0145	55226	Bar-le-Duc	Actif
ADH-0146	08306	Charleville-Mézières	Actif
ADH-0147	35379	Rennes	Étudiant
ADH-0148	67600	Strasbourg	Étudiant
ADH-0149	57397	Metz	Bienfaiteur
ADH-0150	31529	Toulouse	Actif
ADH-0151	77232	Melun	Étudiant
ADH-0152	91049	Évry-Courcouronnes	Actif
ADH-0153	39754	Lons-le-Saunier	Actif
ADH-0154	73789	Chambéry	Étudiant
ADH-0155	32605	Auch	Actif
ADH-0156	40036	Mont-de-Marsan	Étudiant
ADH-0157	69760	Lyon	Actif
ADH-0158	49118	Angers	Bienfaiteur
ADH-0159	25555	Besançon	Actif
ADH-0160	23287	Guéret	Actif
ADH-0161	59341	Lille	Actif
ADH-0162	75525	Paris	Actif
ADH-0163	78227	Versailles	Actif
ADH-0164	77688	Melun	Étudiant
ADH-0165	41223	Blois	Bienfaiteur
ADH-0166	89815	Auxerre	Actif
ADH-0167	33723	Bordeaux	Actif
ADH-0168	06709	Nice	Étudiant
ADH-0169	78334	Versailles	Actif
ADH-0170	72787	Le Mans	Actif
ADH-0171	86678	Poitiers	Actif
ADH-0172	40342	Mont-de-Marsan	Étudiant
ADH-0173	20200	Bastia	Bienfaiteur
ADH-0174	71523	Mâcon	Actif
ADH-0175	50324	Saint-Lô	Étudiant
ADH-0176	46258	Cahors	Étudiant
ADH-0177	75733	Paris	Étudiant
ADH-0178	07251	Privas	Actif
ADH-0179	25191	Besançon	Étudiant
ADH-0180	14526	Caen	Bienfaiteur
ADH-0181	76145	Rouen	Actif
ADH-0182	90839	Belfort	Bienfaiteur
ADH-0183	34286	Montpellier	Actif
ADH-0184	81629	Albi	Actif
ADH-0185	75574	Paris	Étudiant
ADH-0186	76286	Rouen	Actif
ADH-0187	42374	Saint-Étienne	Actif
ADH-0188	51068	Châlons-en-Champagne	Actif
ADH-0189	54553	Nancy	Étudiant
ADH-0190	73452	Chambéry	Actif
ADH-0191	64292	Pau	Actif
ADH-0192	52722	Chaumont	Bienfaiteur
ADH-0193	93885	Bobigny	Bienfaiteur
ADH-0194	15713	Aurillac	Étudiant
ADH-0195	12020	Rodez	Actif
ADH-0196	46513	Cahors	Actif
ADH-0197	62782	Arras	Actif
ADH-0198	35628	Rennes	Actif
ADH-0199	86123	Poitiers	Bienfaiteur
ADH-0200	68154	Colmar	Actif
ADH-0201	71738	Mâcon	Étudiant
ADH-0202	38090	Grenoble	Actif
ADH-0203	77544	Melun	Actif
ADH-0204	69125	Lyon	Actif
ADH-0205	69803	Lyon	Étudiant
ADH-0206	25353	Besançon	Actif
ADH-0207	78283	Versailles	Actif
ADH-0208	69048	Lyon	Actif
ADH-0209	16252	Angoulême	Actif
ADH-0210	44135	Nantes	Étudiant
ADH-0211	92029	Nanterre	Actif
ADH-0212	37753	Tours	Bienfaiteur
ADH-0213	28716	Chartres	Bienfaiteur
ADH-0214	92440	Nanterre	Bienfaiteur
ADH-0215	67445	Strasbourg	Actif
ADH-0216	60007	Beauvais	Actif
ADH-0217	24128	Périgueux	Bienfaiteur
ADH-0218	44410	Nantes	Actif
ADH-0219	85648	La Roche-sur-Yon	Actif
ADH-0220	26802	Valence	Actif
