date,departement,type_intervention,duree_h,montant_ht
2025-10-09,"Seine-Saint-Denis",Devis,1.6,96.31
2025-09-01,"Loire-Atlantique",Entretien,4.8,364.00
2025-03-27,"Sarthe",Urgence,3.1,263.71
2024-08-07,"Gers",Dépannage,2.2,186.21
2024-12-04,"Val-d'Oise",Dépannage,1.5,127.76
2025-06-03,"Yvelines",Dépannage,4.1,374.37
2024-11-08,"Finistère",Installation,0.7,451.35
2025-12-25,"Deux-Sèvres",Dépannage,1.6,129.54
2025-09-21,"Orne",Installation,6.3,832.94
2025-08-06,"Allier",Devis,3.5,327.75
2025-04-02,"Ariège",Urgence,5.9,372.75
2024-11-11,"Val-d'Oise",Dépannage,0.7,59.31
2025-01-27,"Pyrénées-Atlantiques",Devis,1.0,68.70
2025-09-27,"Haut-Rhin",Devis,1.0,70.16
2024-08-23,"Pas-de-Calais",Devis,4.0,358.20
2025-05-04,"Nièvre",Urgence,3.1,273.37
2024-12-06,"Nord",Devis,5.0,385.83
2025-09-05,"Hérault",Devis,6.2,533.74
2025-07-10,"Essonne",Urgence,5.0,315.25
2025-11-03,"Paris",Devis,6.1,483.97
2025-08-21,"Nord",Entretien,0.9,58.40
2025-09-16,"Pas-de-Calais",Devis,5.7,519.26
2025-11-22,"Essonne",Urgence,2.9,216.83
2025-12-28,"Haut-Rhin",Installation,2.0,564.32
2025-01-14,"Val-d'Oise",Installation,1.8,554.82
2025-07-06,"Marne",Entretien,5.4,489.78
2024-07-05,"Bas-Rhin",Devis,4.9,382.90
2025-04-18,"Finistère",Installation,5.6,913.92
2025-01-03,"Meurthe-et-Moselle",Urgence,0.6,55.50
2025-12-06,"Val-d'Oise",Installation,5.4,723.97
2025-10-26,"Haute-Savoie",Urgence,4.3,298.43
2025-04-14,"Lot-et-Garonne",Entretien,4.5,392.08
2024-10-05,"Rhône",Devis,1.8,112.35
2025-03-10,"Essonne",Entretien,4.7,410.95
2025-08-20,"Seine-Maritime",Urgence,6.5,516.07
2025-09-15,"Cher",Dépannage,4.6,282.58
2025-05-05,"Haut-Rhin",Dépannage,5.7,518.55
2025-01-01,"Rhône",Urgence,0.9,65.16
2024-12-24,"Doubs",Urgence,4.6,432.37
2025-10-04,"Paris",Devis,0.7,42.07
2025-10-17,"Saône-et-Loire",Devis,5.2,416.41
2024-08-10,"Val-d'Oise",Devis,0.9,74.96
2024-09-03,"Paris",Entretien,4.4,281.20
2025-03-15,"Loire-Atlantique",Dépannage,2.6,245.71
2025-06-11,"Territoire de Belfort",Dépannage,2.8,184.34
2025-01-13,"Bas-Rhin",Devis,5.2,461.49
2025-12-23,"Vendée",Urgence,2.9,177.86
2025-02-23,"Nord",Urgence,6.0,363.49
2024-09-19,"Meurthe-et-Moselle",Entretien,2.7,243.88
2025-11-20,"Marne",Entretien,5.1,289.57
2024-08-08,"Hauts-de-Seine",Installation,6.1,934.04
2025-07-04,"Seine-Maritime",Devis,1.3,94.32
2025-01-07,"Yvelines",Urgence,1.5,131.24
2024-12-17,"Alpes-Maritimes",Installation,4.1,700.83
2025-08-12,"Territoire de Belfort",Dépannage,6.0,536.95
2025-04-21,"Pyrénées-Atlantiques",Dépannage,1.4,102.34
2025-10-09,"Drôme",Dépannage,1.8,112.25
2025-08-07,"Nord",Urgence,3.0,243.84
2025-01-14,"Lot-et-Garonne",Urgence,1.9,108.75
2025-06-09,"Ille-et-Vilaine",Installation,6.2,780.29
2024-08-07,"Bouches-du-Rhône",Urgence,1.3,113.79
2025-06-12,"Nord",Devis,4.3,261.35
2025-05-24,"Cantal",Devis,1.8,110.49
2025-08-12,"Rhône",Devis,5.6,502.75
2024-09-24,"Cher",Urgence,6.0,559.65
2024-10-27,"Hautes-Alpes",Entretien,5.5,370.69
2025-02-13,"Saône-et-Loire",Dépannage,4.2,314.33
2025-06-26,"Yvelines",Dépannage,1.6,139.08
2024-09-27,"Moselle",Dépannage,6.4,356.54
2025-09-27,"Rhône",Urgence,3.3,222.66
2025-05-07,"Moselle",Installation,5.8,781.44
2025-11-24,"Haute-Savoie",Installation,3.4,669.79
2025-02-24,"Alpes-de-Haute-Provence",Dépannage,1.0,61.54
2025-07-24,"Yvelines",Urgence,6.1,502.55
2025-12-18,"Seine-Saint-Denis",Urgence,1.2,80.87
2024-12-11,"Loiret",Dépannage,3.9,334.78
2024-10-03,"Ardèche",Urgence,2.7,254.62
2025-01-04,"Vendée",Devis,1.6,121.19
2025-11-14,"Hauts-de-Seine",Installation,5.9,884.52
2025-07-27,"Drôme",Dépannage,1.8,165.72
2024-11-26,"Yvelines",Devis,5.7,433.89
2025-07-11,"Ain",Entretien,1.7,99.45
2025-08-16,"Calvados",Installation,5.6,851.50
2025-11-24,"Vaucluse",Urgence,3.0,261.56
2025-01-12,"Mayenne",Dépannage,2.7,223.83
2024-10-15,"Haute-Saône",Urgence,5.4,341.69
2024-09-24,"Vaucluse",Devis,3.3,245.73
2025-10-08,"Charente",Devis,1.9,172.70
2024-07-06,"Gers",Dépannage,3.6,230.44
2025-05-10,"Bas-Rhin",Entretien,1.7,141.06
2025-06-20,"Val-de-Marne",Devis,2.1,139.14
2025-07-06,"Alpes-Maritimes",Dépannage,1.1,85.45
2025-12-21,"Vosges",Urgence,0.7,63.08
2025-06-20,"Hautes-Alpes",Urgence,1.2,87.64
2025-12-11,"Paris",Dépannage,1.1,86.89
2025-09-09,"Indre-et-Loire",Dépannage,5.4,495.82
2025-03-21,"Bas-Rhin",Urgence,2.4,193.90
2024-08-05,"Morbihan",Dépannage,1.9,171.68
2025-11-28,"Haute-Corse",Entretien,2.6,155.35
2025-06-24,"Nièvre",Urgence,1.0,92.76
2024-10-17,"Sarthe",Urgence,4.3,323.00
2025-02-24,"Isère",Urgence,2.7,188.79
2025-01-22,"Moselle",Installation,0.5,438.48
2025-04-15,"Ille-et-Vilaine",Urgence,4.3,309.04
2025-04-17,"Bouches-du-Rhône",Entretien,2.8,166.45
2024-10-06,"Bas-Rhin",Dépannage,3.2,259.82
2025-02-03,"Paris",Devis,3.8,333.29
2025-04-25,"Allier",Urgence,3.5,235.45
2025-05-27,"Aude",Urgence,4.0,252.26
2024-11-25,"Maine-et-Loire",Devis,0.6,44.27
2025-07-18,"Loire-Atlantique",Installation,6.4,905.61
2025-10-26,"Loiret",Entretien,5.7,386.61
2025-10-18,"Pyrénées-Atlantiques",Urgence,2.2,207.49
2025-11-22,"Sarthe",Devis,1.2,85.43
2025-12-13,"Manche",Entretien,4.5,390.70
2024-12-10,"Maine-et-Loire",Entretien,3.3,284.36
2024-10-28,"Alpes-Maritimes",Devis,6.0,445.62
2025-10-06,"Savoie",Installation,1.8,510.44
2025-08-13,"Bouches-du-Rhône",Dépannage,4.4,324.75
2024-08-04,"Marne",Devis,5.3,478.73
2025-03-07,"Isère",Dépannage,2.1,189.53
2025-09-01,"Puy-de-Dôme",Urgence,6.0,561.83
2024-08-02,"Paris",Dépannage,1.4,116.43
